id,category,country,flag,title,location,days,price,rating,reviews,image,description,best_time,difficulty,group_size,accommodation,itinerary,highlights
1,Asia,India,https://flagcdn.com/w40/in.png,Kerala Backwaters,"Alleppey, Munnar, Kochi",6 Days,"₹18,500",4.7/5,98 Reviews,https://images.unsplash.com/photo-1602216056096-3b40cc0c9944?q=80&w=1000&auto=format&fit=crop,"Experience the tranquility of Kerala's backwaters on a houseboat, explore tea plantations in Munnar, and witness the colonial charm of Kochi.",Sep-Mar,Easy,2-8,Houseboat & Hotels,"Kochi → Munnar → Alleppey → Kochi","{""Houseboat stay"",""Tea museum visit"",""Kathakali performance"",""Ayurvedic massage""}"
101,Asia,India,https://flagcdn.com/w40/in.png,Golden Triangle Tour,"Delhi, Agra, Jaipur",8 Days,"₹67,425",4.8/5,150 Reviews,https://images.unsplash.com/photo-1524492412937-b28074a5d7da?q=80&w=1000&auto=format&fit=crop,"Explore the rich history of India's Golden Triangle. Visit the Taj Mahal, Amber Fort, and bustling Delhi markets.",Oct-Mar,Easy,2-12,Heritage Hotels,"Delhi → Agra → Jaipur → Delhi","{""Taj Mahal"",""Amber Fort"",""Qutub Minar"",""Hawa Mahal""}"
2,Asia,Japan,https://flagcdn.com/w40/jp.png,Japan Cultural Journey,"Kyoto, Nara, Osaka",14 Days,"₹2,17,425",4.8/5,124 Reviews,https://images.unsplash.com/photo-1493976040374-85c8e12f0c0e?q=80&w=1000&auto=format&fit=crop,"Discover ancient traditions and modern wonders in the Land of the Rising Sun. From bustling Tokyo streets to serene Kyoto temples.","Mar-May, Sep-Nov",Moderate,2-10,Ryokan & Hotels,"Tokyo → Kyoto → Osaka → Hiroshima","{""Tokyo Skytree"",""Kyoto temples"",""Bullet train experience"",""Tea ceremony""}"
11,Asia,Thailand,https://flagcdn.com/w40/th.png,Phi Phi Island Hop,"Phuket, Krabi, Phi Phi",5 Days,"₹45,000",4.6/5,85 Reviews,https://images.unsplash.com/photo-1528181304800-259b08848526?q=80&w=1000&auto=format&fit=crop,"Hop between the stunning islands of Thailand. Snorkel in crystal clear waters and relax on white sandy beaches.",Nov-Apr,Easy,4-12,Beach Resorts,"Phuket → Phi Phi → Krabi","{""Maya Bay"",""Snorkeling"",""Beach parties"",""Long-tail boat ride""}"
12,Asia,Vietnam,https://flagcdn.com/w40/vn.png,Ha Long Bay Cruise,"Hanoi, Ha Long Bay",4 Days,"₹35,000",4.8/5,76 Reviews,https://images.unsplash.com/photo-1528127220198-3498b3ebcc0a?q=80&w=1000&auto=format&fit=crop,"Cruise through the emerald waters of Ha Long Bay, surrounded by thousands of towering limestone isles.",Oct-Dec,Easy,2-16,Luxury Cruise,"Hanoi → Ha Long Bay → Hanoi","{""Overnight cruise"",""Cave exploration"",""Kayaking"",""Tai Chi on deck""}"
13,Asia,Indonesia,https://flagcdn.com/w40/id.png,Bali Spiritual Journey,"Ubud, Uluwatu, Kuta",6 Days,"₹55,000",4.7/5,112 Reviews,https://images.unsplash.com/photo-1537996194471-e657df975ab4?q=80&w=1000&auto=format&fit=crop,"Reconnect with yourself in the spiritual heart of Bali. Visit ancient temples, lush rice terraces, and sacred monkey forests.",Apr-Oct,Moderate,2-8,Villas & Resorts,"Ubud → Uluwatu → Seminyak","{""Sacred Monkey Forest"",""Uluwatu Temple"",""Rice Terrace Trek"",""Traditional Dance""}"
14,Asia,Maldives,https://flagcdn.com/w40/mv.png,Luxury Atoll Escape,Male Atoll,4 Days,"₹1,20,000",4.9/5,54 Reviews,https://images.unsplash.com/photo-1514282401047-d79a71a590e8?q=80&w=1000&auto=format&fit=crop,"Indulge in ultimate luxury in a water villa over the turquoise Indian Ocean.",Nov-Apr,Easy,2,Water Villa,"Male → Private Resort Island","{""Underwater dining"",""Sunset cruise"",""Snorkeling"",""Spa treatments""}"
3,Europe,France,https://flagcdn.com/w40/fr.png,Paris Romantic Getaway,"Paris, Versailles",5 Days,"₹1,25,000",4.8/5,210 Reviews,https://images.unsplash.com/photo-1502602898657-3e91760cbb34?q=80&w=1000&auto=format&fit=crop,"The City of Light awaits. Romantic strolls along the Seine, world-class art at the Louvre, and iconic Eiffel Tower views.","Apr-Jun, Sep-Nov",Easy,2-10,Boutique Hotels,"Paris → Versailles → Paris","{""Eiffel Tower"",""Louvre Museum"",""Seine Cruise"",""Palace of Versailles""}"
4,Europe,Greece,https://flagcdn.com/w40/gr.png,Santorini Sunset,"Santorini, Mykonos",6 Days,"₹1,34,925",4.9/5,156 Reviews,https://images.unsplash.com/photo-1570077188670-e3a8d69ac5ff?q=80&w=1000&auto=format&fit=crop,"Whitewashed buildings, blue domes, and the world's most beautiful sunsets.",May-Oct,Moderate,2-12,Cliffside Hotels,"Athens → Santorini → Mykonos","{""Oia Sunset"",""Volcano Boat Tour"",""Red Beach"",""Ancient Akrotiri""}"
31,Europe,Switzerland,https://flagcdn.com/w40/ch.png,Swiss Alpine Wonders,"Zurich, Zermatt",5 Days,"₹1,60,000",4.9/5,89 Reviews,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?q=80&w=1000&auto=format&fit=crop,"Breathtaking mountain peaks, pristine lakes, and charming alpine villages.","Jun-Sep, Dec-Feb",Moderate,2-10,Available,"Zurich → Lucerne → Interlaken","{""Jungfraujoch"",""Lake Lucerne"",""Chapel Bridge"",""Chocolate Factory""}"
32,Europe,Italy,https://flagcdn.com/w40/it.png,Venice Canal Tour,"Venice, Burano",4 Days,"₹95,000",4.7/5,130 Reviews,https://images.unsplash.com/photo-1534447677768-be436bb09401?q=80&w=1000&auto=format&fit=crop,"Glide through the romantic canals of Venice and explore its historic architecture.",Apr-Oct,Easy,2-8,Boutique Hotels,"Venice → Murano → Burano","{""Gondola Ride"",""St. Mark's Square"",""Doge's Palace"",""Glass Blowing Demo""}"
33,Europe,Spain,https://flagcdn.com/w40/es.png,Barcelona Highlights,"Barcelona, Madrid",6 Days,"₹1,15,000",4.6/5,180 Reviews,https://images.unsplash.com/photo-1543783207-ec64e4d95325?q=80&w=1000&auto=format&fit=crop,"Immerse yourself in the vibrant culture and stunning architecture of Barcelona.","Apr-Jun, Sep-Oct",Moderate,2-10,City Hotels,"Barcelona → Montserrat → Madrid","{""Sagrada Familia"",""Park Güell"",""Gothic Quarter"",""Flamenco Show""}"
34,Europe,UK,https://flagcdn.com/w40/gb.png,London City Break,"London, Bath",5 Days,"₹1,05,000",4.5/5,200+ Reviews,https://images.unsplash.com/photo-1513635269975-59663e0ac1ad?q=80&w=1000&auto=format&fit=crop,"Explore the historic landmarks and modern attractions of London.",May-Sep,Easy,2-12,Hotels,"London → Windsor → Bath","{""Buckingham Palace"",""Tower of London"",""British Museum"",""West End Show""}"
5,Americas,USA,https://flagcdn.com/w40/us.png,New York City Lights,"Manhattan, Brooklyn",5 Days,"₹1,55,000",4.7/5,300+ Reviews,https://images.unsplash.com/photo-1496442226666-8d4a0e62e6e9?q=80&w=1000&auto=format&fit=crop,"The city that never sleeps. Iconic landmarks, broadway shows, and endless energy.",May-Oct,Easy,1-10,Hotels,"Manhattan → Brooklyn → Bronx","{""Statue of Liberty"",""Times Square"",""Central Park"",""Brooklyn Bridge""}"
51,Americas,Brazil,https://flagcdn.com/w40/br.png,Rio Carnival Vibes,Rio de Janeiro,5 Days,"₹1,30,000",4.8/5,95 Reviews,https://images.unsplash.com/photo-1483391799217-95cfe2ce2594?q=80&w=1000&auto=format&fit=crop,"Experience the vibrant energy of Rio de Janeiro, from its iconic beaches to the world-famous Carnival.",Dec-Mar,Moderate,2-15,Hotels,"Rio de Janeiro → Sugarloaf Mountain → Christ the Redeemer","{""Copacabana Beach"",""Carnival Parade"",""Samba Schools"",""Sugarloaf Mountain""}"
52,Americas,Canada,https://flagcdn.com/w40/ca.png,Banff Nature Trek,"Banff, Jasper",7 Days,"₹1,75,000",4.9/5,70 Reviews,https://images.unsplash.com/photo-1503614472-8c93d56e92ce?q=80&w=1000&auto=format&fit=crop,"Discover the majestic beauty of the Canadian Rockies with stunning lakes and wildlife.",Jun-Sep,Moderate,2-10,Lodges & Cabins,"Calgary → Banff → Lake Louise → Jasper","{""Lake Louise"",""Moraine Lake"",""Icefields Parkway"",""Wildlife Viewing""}"
53,Americas,Peru,https://flagcdn.com/w40/pe.png,Machu Picchu Hike,"Cusco, Machu Picchu",6 Days,"₹1,40,000",4.9/5,88 Reviews,https://images.unsplash.com/photo-1587595431973-160d0d94add1?q=80&w=1000&auto=format&fit=crop,"Trek through the Andes to the ancient Inca citadel of Machu Picchu.",May-Oct,Challenging,2-12,Hotels & Camping,"Cusco → Sacred Valley → Machu Picchu","{""Inca Trail"",""Machu Picchu Sunrise"",""Sacred Valley"",""Local Markets""}"
54,Americas,Mexico,https://flagcdn.com/w40/mx.png,Cancun Beach Fun,"Cancun, Tulum",5 Days,"₹1,25,000",4.6/5,110 Reviews,https://images.unsplash.com/photo-1512813195386-6cf811ad3542?q=80&w=1000&auto=format&fit=crop,"Relax on the white sands of Cancun and explore ancient Mayan ruins.",Dec-Apr,Easy,2-10,All-Inclusive Resorts,"Cancun → Chichen Itza → Tulum","{""Chichen Itza"",""Tulum Ruins"",""Cenote Swimming"",""Beach Relaxation""}"
55,Americas,Argentina,https://flagcdn.com/w40/ar.png,Patagonia Wilds,El Calafate,8 Days,"₹1,95,000",4.8/5,60 Reviews,https://images.unsplash.com/photo-1534237197335-fe45100a12e8?q=80&w=1000&auto=format&fit=crop,"Trek through the stunning landscapes of Patagonia, home to glaciers and rugged mountains.",Nov-Mar,Challenging,2-8,Estancias & Hotels,"El Calafate → Perito Moreno Glacier → El Chalten","{""Perito Moreno Glacier"",""Fitz Roy Trek"",""Glacier Trekking"",""Wildlife Spotting""}"
6,Africa,South Africa,https://flagcdn.com/w40/za.png,Cape Town Adventure,"Cape Town, Garden Route",8 Days,"₹1,10,000",4.8/5,67 Reviews,https://images.unsplash.com/photo-1580060839134-75a5edca2e99?q=80&w=1000&auto=format&fit=crop,"Where mountains meet the sea. Wildlife, wineries, and stunning coastal drives.",Nov-Mar,Moderate,2-12,Lodges,"Cape Town → Stellenbosch → Hermanus","{""Table Mountain"",""Penguin Colony"",""Wine Tasting"",""Safari""}"
61,Africa,Egypt,https://flagcdn.com/w40/eg.png,Pyramids & Nile,"Cairo, Luxor",6 Days,"₹90,000",4.7/5,105 Reviews,https://images.unsplash.com/photo-1503177119275-0aa32b3a9368?q=80&w=1000&auto=format&fit=crop,"Journey back in time to the land of Pharaohs, exploring ancient wonders and cruising the Nile.",Oct-Apr,Easy,2-15,Hotels & Nile Cruise,"Cairo → Luxor → Aswan","{""Pyramids of Giza"",""Nile Cruise"",""Valley of the Kings"",""Abu Simbel""}"
62,Africa,Morocco,https://flagcdn.com/w40/ma.png,Marrakech Market,"Marrakech, Fes",5 Days,"₹85,000",4.6/5,80 Reviews,https://images.unsplash.com/photo-1539020140153-e479b8c22e70?q=80&w=1000&auto=format&fit=crop,"Immerse yourself in the vibrant souks and rich history of Morocco's imperial cities.","Mar-May, Sep-Nov",Moderate,2-10,Riads & Hotels,"Marrakech → Atlas Mountains → Fes","{""Djemaa el-Fna"",""Majorelle Garden"",""Tanneries of Fes"",""Sahara Desert Excursion""}"
